		PPIs	score_old	score_new	reason
MI:0410	 3D electron microscopy	26		10	like x-ray crystalography (10), in twcie 9/10?
MI:0889	 acetylase assay	1		7.5	like acetylation assay (7.5), methytransferase assay (7.5) kinase assay (7.5)
MI:2215	 barcode fusion genetics two hybrid	35		5	like two hybrid fragment pooling approach (5)
MI:2170	bimolecular luminiscence complementation	3		6	bioluminescent version of bimolecular fluorescence complementation (6)
MI:0969	 bio-layer interferometry	2		10	as good as surface plasmon resonance (10) or isothermal titration calorimetry (10)
MI:0013	 biophysical	1		10	assuming it means measuring a direct physical interaction with quantitative data (e.g. Kd)
MI:0949	 gdp/gtp exchange assay	1		7.5	like acetylation assay (7.5), methytransferase assay (7.5) kinase assay (7.5)
MI:1007	 glycosylase assay	1		7.5	like acetylation assay (7.5), methytransferase assay (7.5) kinase assay (7.5)
MI:0729	 luminescence based mammalian interactome mapping	2		5	like affinity capture-luminescence (5)
MI:2413	 mammalian membrane two hybrid	31		6	like Mammalian protein protein interaction trap (6) - better than two-hybrid (5)
MI:1247	 microscale thermophoresis	2		10	similar to isothermal titration calorimetry (10) and surface plasmon resonance (10) - like Biophysical (new - 10)
MI:0813	 proximity ligation assay	32		6	similar to Bimolecular fluorescence complementation (6) or BRET (6)
MI:1314	 proximity-dependent biotin identification	29414		3	not direct - worse than affinity capture ms (5) but in vivo
MI:1203	 split luciferase complementation	125		6	similar to Bimolecular fluorescence complementation (6) or BRET (6)
MI:1235	 thermal shift binding	3		10	similar to isothermal titration calorimetry (10)
MI:0437	protein three hybrid	2		5	like protein tri hybrid (5)
MI:0397	 two hybrid array	71		5	like two hybrid fragment pooling approach (5)
MI:0398	 two hybrid pooling approach	69		5	like two hybrid fragment pooling approach (5)
MI:0997	 ubiquitinase assay	1		7.5	like acetylation assay (7.5), methytransferase assay (7.5) kinase assay (7.5)
MI:0966	 ultraviolet-visible spectroscopy	1		9	similar to circular dichroism (9)
MI:0686	 unspecified method	1957		0	
MI:1356	 validated two hybrid	72		5	like two hybrid fragment pooling approach (5)
MI:2289	 virotrap	1520		5	similar to affinity capture ms (5)
MI:0369	lex-a dimerization assay                         	16	5	5	
MI:0054	fluorescence-activated cell sorting              	95	1	1	
MI:0045	experimental interaction detection               	261	1	1	
MI:0428	imaging technique                                	5051	1	1	
MI:0091	chromatography technology                        	98	1	1	
MI:0051	fluorescence technology                          	109	1	1	
MI:0008	array technology                                 	44	3	3	
MI:0892	solid phase assay                                	643	1	1	
MI:0426	light microscopy                                 	8	1	1	
MI:0090	protein complementation assay                    	1556	5	5	
MI:0114	x-ray crystallography	2556	10	10	
MI:0065	isothermal titration calorimetry                 	461	10	10	
MI:0067	light scattering                                 	115	10	10	
MI:0077	nuclear magnetic resonance                       	398	10	10	
MI:0107	surface plasmon resonance                        	1023	10	10	
MI:0826	x ray scattering                                 	122	9	9	
MI:0011	beta lactamase complementation                   	19	5	5	
MI:0010	beta galactosidase complementation               	23	5	5	
MI:0440	saturation binding                               	24	7.5	7.5	
MI:0809	bimolecular fluorescence complementation         	1093	6	6	
MI:0012	bioluminescence resonance energy transfer        	3607	6	6	
MI:0016	circular dichroism                               	58	9	9	
MI:0111	dihydrofolate reductase reconstruction           	6	6	6	
MI:0370	tox-r dimerization assay                         	42	5	5	
MI:0728	gal4 vp16 complementation                        	35	5	5	
MI:0399	two hybrid fragment pooling approach             	4155	5	5	
MI:0510	homogeneous time resolved fluorescence           	6	7	7	
MI:0420	kinase homogeneous time resolved fluorescence    	2	7.5	7.5	
MI:0017	classical fluorescence spectroscopy              	91	7.5	7.5	
MI:0053	fluorescence polarization spectroscopy           	722	10	10	
MI:0055	fluorescent resonance energy transfer            	2336	6	6	
MI:0231	mammalian protein protein interaction trap       	414	6	6	
MI:0099	scintillation proximity assay                    	34	7.5	7.5	
MI:0232	transcriptional complementation assay            	8	5	5	
MI:0112	ubiquitin reconstruction                         	2084	5	5	
