PSI-MI	Method Name	Score
MI:0410	 3D electron microscopy	10
MI:0889	 acetylase assay	7.5
MI:2215	 barcode fusion genetics two hybrid	5
MI:2170	bimolecular luminiscence complementation	6
MI:0969	 bio-layer interferometry	10
MI:0013	 biophysical	10
MI:0949	 gdp/gtp exchange assay	7.5
MI:1007	 glycosylase assay	7.5
MI:0729	 luminescence based mammalian interactome mapping	5
MI:2413	 mammalian membrane two hybrid	6
MI:1247	 microscale thermophoresis	10
MI:0813	 proximity ligation assay	6
MI:1314	 proximity-dependent biotin identification	3
MI:1203	 split luciferase complementation	6
MI:1235	 thermal shift binding	10
MI:0437	protein three hybrid	5
MI:0397	 two hybrid array	5
MI:0398	 two hybrid pooling approach	5
MI:0997	 ubiquitinase assay	7.5
MI:0966	 ultraviolet-visible spectroscopy	9
MI:0686	 unspecified method	0
MI:1356	 validated two hybrid	5
MI:2289	 virotrap	5
MI:0369	lex-a dimerization assay                         	5
MI:0054	fluorescence-activated cell sorting              	1
MI:0045	experimental interaction detection               	1
MI:0428	imaging technique                                	1
MI:0091	chromatography technology                        	1
MI:0051	fluorescence technology                          	1
MI:0008	array technology                                 	3
MI:0892	solid phase assay                                	1
MI:0426	light microscopy                                 	1
MI:0090	protein complementation assay                    	5
MI:0114	x-ray crystallography	10
MI:0065	isothermal titration calorimetry                 	10
MI:0067	light scattering                                 	10
MI:0077	nuclear magnetic resonance                       	10
MI:0107	surface plasmon resonance                        	10
MI:0826	x ray scattering                                 	9
MI:0011	beta lactamase complementation                   	5
MI:0010	beta galactosidase complementation               	5
MI:0440	saturation binding                               	7.5
MI:0809	bimolecular fluorescence complementation         	6
MI:0012	bioluminescence resonance energy transfer        	6
MI:0016	circular dichroism                               	9
MI:0111	dihydrofolate reductase reconstruction           	6
MI:0370	tox-r dimerization assay                         	5
MI:0728	gal4 vp16 complementation                        	5
MI:0399	two hybrid fragment pooling approach             	5
MI:0510	homogeneous time resolved fluorescence           	7
MI:0420	kinase homogeneous time resolved fluorescence    	7.5
MI:0017	classical fluorescence spectroscopy              	7.5
MI:0053	fluorescence polarization spectroscopy           	10
MI:0055	fluorescent resonance energy transfer            	6
MI:0231	mammalian protein protein interaction trap       	6
MI:0099	scintillation proximity assay                    	7.5
MI:0232	transcriptional complementation assay            	5
MI:0112	ubiquitin reconstruction                         	5
MI:0052	fluorescence correlation spectroscopy            	10
MI:0030	cross-linking study                              	5
MI:0031	protein cross-linking with a bifunctional reagent	5
MI:0084	phage display                                    	6
MI:0048	filamentous phage display                        	6
MI:0108	t7 phage display                                 	6
MI:0066	lambda phage display                             	6
MI:0115	yeast display                                    	5
MI:0404	comigration in non denaturing gel electrophoresis	3
MI:0808	comigration in sds page                          	3
MI:0807	comigration in gel electrophoresis               	3
MI:0417	footprinting                                     	3
MI:0089	protein array                                    	5
MI:0424	protein kinase assay                             	7.5
MI:0434	phosphatase assay                                	7.5
